1657806535.038634 client started (72235): version 3.2a, socket /private/tmp/tmux-501/default, protocol 8
1657806535.038683 on Darwin 21.4.0 Darwin Kernel Version 21.4.0: Fri Mar 18 00:45:05 PDT 2022; root:xnu-8020.101.4~15/RELEASE_X86_64
1657806535.038705 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1657806535.041141 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041147 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041153 sending message 112 to peer 0x7fdb30008000 (8 bytes)
1657806535.041159 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041164 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041170 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041176 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041182 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041188 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041193 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041199 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041205 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041211 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041217 sending message 112 to peer 0x7fdb30008000 (8 bytes)
1657806535.041223 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041229 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041234 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041240 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041246 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041252 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041258 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041264 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041270 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041275 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041281 sending message 112 to peer 0x7fdb30008000 (8 bytes)
1657806535.041287 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041293 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041312 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041318 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041324 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041330 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041336 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041342 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041348 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041354 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041359 sending message 112 to peer 0x7fdb30008000 (10 bytes)
1657806535.041365 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041371 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041377 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041383 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041391 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041397 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041403 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041409 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041415 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041421 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041426 sending message 112 to peer 0x7fdb30008000 (10 bytes)
1657806535.041434 sending message 112 to peer 0x7fdb30008000 (13 bytes)
1657806535.041440 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041446 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041452 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041458 sending message 112 to peer 0x7fdb30008000 (10 bytes)
1657806535.041464 sending message 112 to peer 0x7fdb30008000 (10 bytes)
1657806535.041470 sending message 112 to peer 0x7fdb30008000 (10 bytes)
1657806535.041476 sending message 112 to peer 0x7fdb30008000 (12 bytes)
1657806535.041481 sending message 112 to peer 0x7fdb30008000 (13 bytes)
